District,Total Number of Monitored Stations,Observed Range of Water Level,Year,MeanDepth
BANKURA,30,2.17 - 19.12,1996,10.645
BIRBHUM,38,2.21 - 13.47,1996,7.84
COOCH BEHAR,13,2.22 - 4.27,1996,3.245
DARJILING,5,3.01 - 6.43,1996,4.72
East Medinipur,6,8.14 - 10.4,1996,9.27
HOWRAH,10,0.79 - 5.12,1996,2.955
HUGLI,17,3.29 - 12.72,1996,8.005
JALPAIGURI,23,1.7 - 16.09,1996,8.895
JHARGRAM,5,5.09 - 11.56,1996,8.325
MALDAH,9,3.81 - 10.07,1996,6.94
MURSHIDABAD,13,3.19 - 15.69,1996,9.44
NADIA,20,2.68 - 7.69,1996,5.185
NORTH 24 PARGANAS,12,2.88 - 7.39,1996,5.135
NORTH DINAJPUR,6,3.36 - 5.71,1996,4.535
PASCHIM BARDHAMAN,13,2.29 - 8.33,1996,5.31
PURBA BARDHAMAN,13,2.7 - 16.31,1996,9.505
PURULIYA,31,3.56 - 12.61,1996,8.085
SOUTH 24 PARGANAS,15,0.63 - 5.2,1996,2.915
West Medinipur,15,2.23 - 14.63,1996,8.43
BANKURA,30,2.64 - 19.45,1997,11.045
BIRBHUM,33,1.42 - 11.55,1997,6.485
COOCH BEHAR,13,2.5 - 4.72,1997,3.61
DARJILING,5,2.74 - 6.85,1997,4.795
East Medinipur,5,5.67 - 8.82,1997,7.245
HOWRAH,12,0.75 - 10.74,1997,5.745
HUGLI,17,3.39 - 14.6,1997,8.995
JALPAIGURI,23,2.21 - 17.63,1997,9.92
JHARGRAM,5,5.53 - 11.12,1997,8.325
MALDAH,9,2.59 - 10.67,1997,6.63
MURSHIDABAD,13,2.25 - 16.59,1997,9.42
NADIA,23,3.32 - 7.69,1997,5.505
NORTH 24 PARGANAS,12,2.34 - 7.25,1997,4.795
NORTH DINAJPUR,6,3.1 - 7.2,1997,5.15
PASCHIM BARDHAMAN,13,2.25 - 15.77,1997,9.01
PURBA BARDHAMAN,14,2.53 - 17.59,1997,10.06
PURULIYA,31,3.17 - 13.23,1997,8.2
SOUTH 24 PARGANAS,17,0.3 - 6.26,1997,3.28
West Medinipur,15,2.4 - 12.23,1997,7.315
BANKURA,32,2.3 - 19.25,1998,10.775
BIRBHUM,31,1.25 - 10.21,1998,5.73
COOCH BEHAR,10,2.5 - 4.24,1998,3.37
DARJILING,4,3.28 - 6.78,1998,5.03
East Medinipur,7,5.19 - 8.65,1998,6.92
HOWRAH,10,0.58 - 4.61,1998,2.595
HUGLI,17,1.91 - 13.33,1998,7.62
JALPAIGURI,20,2.04 - 16.42,1998,9.23
JHARGRAM,5,5.33 - 8.32,1998,6.825
MALDAH,7,2.41 - 8.94,1998,5.675
MURSHIDABAD,12,3.16 - 15.49,1998,9.325
NADIA,22,2.45 - 7.12,1998,4.785
NORTH 24 PARGANAS,12,1.38 - 6.8,1998,4.09
NORTH DINAJPUR,6,2.68 - 5.76,1998,4.22
PASCHIM BARDHAMAN,13,0.98 - 6.73,1998,3.855
PURBA BARDHAMAN,14,1.66 - 15.44,1998,8.55
PURULIYA,31,2.8 - 10,1998,6.4
SOUTH 24 PARGANAS,17,0.16 - 6.52,1998,3.34
West Medinipur,15,1.6 - 14.24,1998,7.92
BANKURA,32,3.04 - 19.2,1999,11.12
BIRBHUM,39,1.59 - 11.4,1999,6.495
COOCH BEHAR,12,2.32 - 4.75,1999,3.535
DARJILING,5,2.61 - 6.88,1999,4.745
East Medinipur,7,7.91 - 12.83,1999,10.37
HOWRAH,10,1.04 - 13.31,1999,7.175
HUGLI,18,4.1 - 16.55,1999,10.325
JALPAIGURI,21,1.75 - 16.84,1999,9.295
JHARGRAM,5,7.09 - 11.27,1999,9.18
MALDAH,7,2.63 - 10.16,1999,6.395
MURSHIDABAD,12,2.8 - 18.06,1999,10.43
NADIA,21,3.31 - 8.02,1999,5.665
NORTH 24 PARGANAS,8,1.25 - 6.44,1999,3.845
NORTH DINAJPUR,5,2.91 - 4.97,1999,3.94
PASCHIM BARDHAMAN,12,2.15 - 12.11,1999,7.13
PURBA BARDHAMAN,11,1.7 - 16.67,1999,9.185
PURULIYA,31,4.02 - 14.1,1999,9.06
SOUTH 24 PARGANAS,16,0.27 - 7.31,1999,3.79
West Medinipur,14,1.2 - 17.9,1999,9.55
BANKURA,32,2.81 - 19.05,2000,10.93
BIRBHUM,39,1.5 - 14.56,2000,8.03
COOCH BEHAR,12,2.57 - 4.65,2000,3.61
DARJILING,5,2.65 - 6.93,2000,4.79
East Medinipur,7,6.46 - 10.1,2000,8.28
HOWRAH,9,0.13 - 9.96,2000,5.045
HUGLI,19,1.99 - 16.47,2000,9.23
JALPAIGURI,21,2.05 - 17.04,2000,9.545
JHARGRAM,4,5.12 - 9.75,2000,7.435
MALDAH,7,1.6 - 13.75,2000,7.675
MURSHIDABAD,12,3 - 17.51,2000,10.255
NADIA,22,2.83 - 7.68,2000,5.255
NORTH 24 PARGANAS,16,2 - 8.31,2000,5.155
NORTH DINAJPUR,5,2.35 - 4.29,2000,3.32
PASCHIM BARDHAMAN,13,1.64 - 11.32,2000,6.48
PURBA BARDHAMAN,11,1.63 - 16.38,2000,9.005
PURULIYA,35,4.04 - 14.11,2000,9.075
SOUTH 24 PARGANAS,15,0.23 - 7.55,2000,3.89
South Dinajpur,1,2.36 - 2.36,2000,2.36
UTTAR DINAJPUR,1,2.67 - 2.67,2000,2.67
West Medinipur,12,0.12 - 12.11,2000,6.115
BANKURA,32,1.9 - 19.05,2001,10.475
BIRBHUM,38,1.32 - 14.33,2001,7.825
COOCH BEHAR,12,2.41 - 4.6,2001,3.505
DARJILING,5,2.89 - 7.94,2001,5.415
East Medinipur,7,7 - 9.92,2001,8.46
HOWRAH,10,0.51 - 10.53,2001,5.52
HUGLI,16,1.7 - 14.2,2001,7.95
JALPAIGURI,21,2.45 - 16.42,2001,9.435
JHARGRAM,5,5.29 - 10.64,2001,7.965
MALDAH,7,2.56 - 10.26,2001,6.41
MURSHIDABAD,11,2.81 - 13.8,2001,8.305
NADIA,21,3.03 - 7.69,2001,5.36
NORTH 24 PARGANAS,15,1.47 - 8.08,2001,4.775
NORTH DINAJPUR,5,2.9 - 4.5,2001,3.7
PASCHIM BARDHAMAN,13,1.59 - 6.77,2001,4.18
PURBA BARDHAMAN,12,1.62 - 15.59,2001,8.605
PURULIYA,35,3.13 - 12,2001,7.565
SOUTH 24 PARGANAS,16,0.43 - 7.61,2001,4.02
South Dinajpur,1,4.34 - 4.34,2001,4.34
UTTAR DINAJPUR,1,3.93 - 3.93,2001,3.93
West Medinipur,13,2.86 - 15.85,2001,9.355
BANKURA,31,2.44 - 14.35,2002,8.395
BIRBHUM,39,1.18 - 14.42,2002,7.8
COOCH BEHAR,12,0.89 - 3.47,2002,2.18
DARJILING,5,2.65 - 6.64,2002,4.645
East Medinipur,7,5.52 - 10.66,2002,8.09
HOWRAH,8,0.61 - 10.8,2002,5.705
HUGLI,19,3.02 - 17.04,2002,10.03
JALPAIGURI,20,1.25 - 15.39,2002,8.32
JHARGRAM,4,5 - 10.83,2002,7.915
MALDAH,7,5.04 - 13.1,2002,9.07
MURSHIDABAD,12,2.95 - 19.57,2002,11.26
NADIA,21,2.79 - 7.65,2002,5.22
NORTH 24 PARGANAS,16,1.09 - 8.23,2002,4.66
NORTH DINAJPUR,6,3.02 - 4.76,2002,3.89
PASCHIM BARDHAMAN,12,1.67 - 9.9,2002,5.785
PURBA BARDHAMAN,12,1.91 - 15.1,2002,8.505
PURULIYA,29,3.77 - 14.04,2002,8.905
SOUTH 24 PARGANAS,13,0.33 - 7.5,2002,3.915
South Dinajpur,1,3.14 - 3.14,2002,3.14
UTTAR DINAJPUR,1,3.05 - 3.05,2002,3.05
West Medinipur,13,2.52 - 13.05,2002,7.785
BANKURA,29,1.07 - 11.91,2003,6.49
BIRBHUM,38,0.8 - 11.9,2003,6.35
COOCH BEHAR,12,1.61 - 3.77,2003,2.69
DARJILING,5,2.55 - 6.97,2003,4.76
East Medinipur,7,5.06 - 11.07,2003,8.065
HOWRAH,10,0.74 - 13.96,2003,7.35
HUGLI,19,2.1 - 18.37,2003,10.235
JALPAIGURI,21,1.59 - 15.9,2003,8.745
JHARGRAM,4,5.5 - 8.86,2003,7.18
MALDAH,7,5.02 - 13.22,2003,9.12
MURSHIDABAD,10,3.52 - 16.56,2003,10.04
NADIA,22,2.87 - 7.55,2003,5.21
NORTH 24 PARGANAS,16,1.19 - 7.9,2003,4.545
NORTH DINAJPUR,6,2.71 - 4.86,2003,3.785
PASCHIM BARDHAMAN,11,1.35 - 10.94,2003,6.145
PURBA BARDHAMAN,12,2.11 - 17.41,2003,9.76
PURULIYA,31,3.79 - 12.94,2003,8.365
SOUTH 24 PARGANAS,10,1.91 - 31.5,2003,16.705
South Dinajpur,1,3.22 - 3.22,2003,3.22
UTTAR DINAJPUR,1,2.07 - 2.07,2003,2.07
West Medinipur,13,2.34 - 17.45,2003,9.895
BANKURA,33,1.66 - 13.28,2004,7.47
BIRBHUM,43,1.52 - 15.56,2004,8.54
COOCH BEHAR,15,1.06 - 4.83,2004,2.945
DARJILING,5,2.28 - 6.2,2004,4.24
East Medinipur,6,5.6 - 12.56,2004,9.08
HOWRAH,10,0.67 - 11.88,2004,6.275
HUGLI,21,4.05 - 19.16,2004,11.605
JALPAIGURI,21,1.1 - 11.5,2004,6.3
JHARGRAM,6,6.36 - 10.36,2004,8.36
MALDAH,7,5.09 - 13.02,2004,9.055
MURSHIDABAD,17,3.32 - 17.15,2004,10.235
NADIA,33,3.07 - 9.82,2004,6.445
NORTH 24 PARGANAS,21,0.93 - 12.4,2004,6.665
NORTH DINAJPUR,6,3.02 - 4.8,2004,3.91
PASCHIM BARDHAMAN,14,1.43 - 9.49,2004,5.46
PURBA BARDHAMAN,13,2.52 - 17.54,2004,10.03
PURULIYA,28,2.4 - 12.91,2004,7.655
SOUTH 24 PARGANAS,15,0.11 - 7.05,2004,3.58
South Dinajpur,2,3.44 - 4.8,2004,4.12
West Medinipur,15,3.37 - 17,2004,10.185
BANKURA,35,1.52 - 12.98,2005,7.25
BIRBHUM,38,1.58 - 15.42,2005,8.5
COOCH BEHAR,13,2.27 - 4.96,2005,3.615
DARJILING,5,3.16 - 7.03,2005,5.095
East Medinipur,6,7.8 - 13.03,2005,10.415
HOWRAH,8,1.86 - 10.58,2005,6.22
HUGLI,20,2.71 - 18.27,2005,10.49
JALPAIGURI,21,1.77 - 15.31,2005,8.54
JHARGRAM,6,7.4 - 10.7,2005,9.05
MALDAH,5,2.72 - 9.54,2005,6.13
MURSHIDABAD,20,3.97 - 17.38,2005,10.675
NADIA,32,2.71 - 9.18,2005,5.945
NORTH 24 PARGANAS,24,1.63 - 11.09,2005,6.36
NORTH DINAJPUR,3,3.95 - 8.56,2005,6.255
PASCHIM BARDHAMAN,11,1.7 - 9.06,2005,5.38
PURBA BARDHAMAN,15,2.35 - 18.02,2005,10.185
PURULIYA,31,3.17 - 14.69,2005,8.93
SOUTH 24 PARGANAS,21,0.37 - 6.44,2005,3.405
South Dinajpur,2,2.73 - 5.83,2005,4.28
UTTAR DINAJPUR,1,2.96 - 2.96,2005,2.96
West Medinipur,14,3.8 - 14,2005,8.9
BANKURA,34,2.25 - 13.18,2006,7.715
BIRBHUM,44,1.1 - 15.82,2006,8.46
COOCH BEHAR,14,1.59 - 4.57,2006,3.08
DARJILING,5,3.15 - 6.91,2006,5.03
East Medinipur,3,9.4 - 13.1,2006,11.25
HOWRAH,4,3.37 - 10.8,2006,7.085
HUGLI,20,2.78 - 19,2006,10.89
JALPAIGURI,22,1.94 - 22,2006,11.97
JHARGRAM,6,5.98 - 10.15,2006,8.065
MALDAH,7,3.7 - 8.8,2006,6.25
MURSHIDABAD,20,4.3 - 16.93,2006,10.615
NADIA,30,3.41 - 8.12,2006,5.765
NORTH 24 PARGANAS,23,2 - 13.6,2006,7.8
NORTH DINAJPUR,4,3.37 - 4.64,2006,4.005
PASCHIM BARDHAMAN,13,1.43 - 9.01,2006,5.22
PURBA BARDHAMAN,16,2.95 - 18.37,2006,10.66
PURULIYA,34,4.67 - 12.11,2006,8.39
SOUTH 24 PARGANAS,21,0.13 - 5.74,2006,2.935
South Dinajpur,2,2.7 - 7.94,2006,5.32
UTTAR DINAJPUR,1,3.04 - 3.04,2006,3.04
West Medinipur,16,2.9 - 13.1,2006,8
BANKURA,37,1.21 - 13.83,2007,7.52
BIRBHUM,41,2 - 16.25,2007,9.125
COOCH BEHAR,15,1.82 - 4.18,2007,3
DARJILING,4,2.98 - 6.26,2007,4.62
East Medinipur,7,8.18 - 14.73,2007,11.455
HOWRAH,5,3.42 - 9.18,2007,6.3
HUGLI,18,3.12 - 21.77,2007,12.445
JALPAIGURI,19,1.28 - 6.48,2007,3.88
JHARGRAM,7,5.39 - 10.1,2007,7.745
MALDAH,7,3 - 8.83,2007,5.915
MURSHIDABAD,19,4.01 - 18.01,2007,11.01
NADIA,30,3.03 - 10.05,2007,6.54
NORTH 24 PARGANAS,27,1.4 - 14.68,2007,8.04
NORTH DINAJPUR,2,3.84 - 4.94,2007,4.39
PASCHIM BARDHAMAN,13,1.48 - 8.94,2007,5.21
PURBA BARDHAMAN,16,2.68 - 19.5,2007,11.09
PURULIYA,32,3.31 - 12.01,2007,7.66
SOUTH 24 PARGANAS,19,0.23 - 6.95,2007,3.59
UTTAR DINAJPUR,1,3.2 - 3.2,2007,3.2
West Medinipur,17,2.21 - 12.85,2007,7.53
BANKURA,31,1.01 - 11.73,2008,6.37
BIRBHUM,38,1.35 - 17.35,2008,9.35
COOCH BEHAR,15,1.7 - 4.27,2008,2.985
DARJILING,5,3.13 - 7.35,2008,5.24
East Medinipur,5,6.7 - 13.5,2008,10.1
HOWRAH,4,1.56 - 7.23,2008,4.395
HUGLI,19,4.47 - 18.98,2008,11.725
JALPAIGURI,22,1.9 - 25.82,2008,13.86
JHARGRAM,6,6.62 - 10.78,2008,8.7
MALDAH,7,3.12 - 8.66,2008,5.89
MURSHIDABAD,19,4.18 - 18.23,2008,11.205
NADIA,29,2.99 - 9.76,2008,6.375
NORTH 24 PARGANAS,25,1.34 - 11.72,2008,6.53
NORTH DINAJPUR,4,3.31 - 4.99,2008,4.15
PASCHIM BARDHAMAN,13,2.23 - 6.61,2008,4.42
PURBA BARDHAMAN,15,2.6 - 17.6,2008,10.1
PURULIYA,27,3.67 - 13.67,2008,8.67
SOUTH 24 PARGANAS,18,0.38 - 5.79,2008,3.085
South Dinajpur,1,8.52 - 8.52,2008,8.52
UTTAR DINAJPUR,1,3.19 - 3.19,2008,3.19
West Medinipur,9,3.34 - 15.55,2008,9.445
BANKURA,30,1.26 - 14.86,2009,8.06
BIRBHUM,44,0.63 - 18.12,2009,9.375
COOCH BEHAR,15,0.33 - 5.43,2009,2.88
DARJILING,5,2.62 - 6.46,2009,4.54
East Medinipur,6,7.21 - 12.26,2009,9.735
HOWRAH,4,1.18 - 7.13,2009,4.155
HUGLI,20,1.82 - 16.7,2009,9.26
JALPAIGURI,22,2.03 - 13.02,2009,7.525
